ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
516443,064,Almenara,https://wikidata.org/entity/Q2265427,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.47069015,-3.69108002,CALLE,MARTIRES DE LA VENTILLA,31,28029,268370,50_LTS_EX
516444,035,Jerónimos,https://wikidata.org/entity/Q10306766,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40808713,-3.68373605,CALLE,JULIAN GAYARRE,26,28014,268371,50_LTS_EX
516445,165,Apóstol Santiago,https://wikidata.org/entity/Q11906303,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.47988512,-3.66051601,CALLE,VELEZ RUBIO,181,28033,268372,50_LTS_EX
513858,094,Valdezarza,https://wikidata.org/entity/Q10388728,09,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OPERATIVO,40.46454816,-3.71091705,CALLE,SAN RESTITUTO,16,28039,265556,50_LTS_EX
516311,122,Orcasur,https://wikidata.org/entity/Q10341270,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.36513612,-3.698043,CALLE,ALERCE,30,28041,268224,50_LTS_EX
516312,192,Valdebernardo,https://wikidata.org/entity/Q43025212,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.39552115,-3.61535701,AVENIDA,COMUNIDADES,4,28032,268225,50_LTS_EX
516316,192,Valdebernardo,https://wikidata.org/entity/Q43025212,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.39529114,-3.61232097,AVENIDA,COMUNIDADES,6,28032,268229,50_LTS_EX
516314,122,Orcasur,https://wikidata.org/entity/Q10341270,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.36522514,-3.69524303,CALLE,ALERCE,29,28041,268227,50_LTS_EX
516317,123,San Fermín (Madrid),https://wikidata.org/entity/Q71758,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.36810513,-3.69229196,GLORIETA,SAN MARTIN DE LA VEGA,1,28041,268230,50_LTS_EX
515144,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.42404013,-3.65513,CALLE,SAN VIDAL,1,28017,266973,50_LTS_EX
515143,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.4233461,-3.65714104,CALLE,RICARDO ORTIZ,112,28017,266972,50_LTS_EX
515145,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.42552408,-3.65596004,CALLE,MONTEJURRA,36,28017,266974,50_LTS_EX
516448,035,Jerónimos,https://wikidata.org/entity/Q10306766,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40819115,-3.68258295,CALLE,JUAN VALERA,26,28014,268375,50_LTS_EX
516451,031,Pacífico,https://wikidata.org/entity/Q3773753,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40625012,-3.68580001,PASEO,INFANTA ISABEL,4,28014,268379,50_LTS_EX
516454,064,Almenara,https://wikidata.org/entity/Q2265427,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.47431911,-3.68872998,CALLE,SINESIO DELGADO,5,28029,268382,50_LTS_EX
516453,035,Jerónimos,https://wikidata.org/entity/Q10306766,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40768513,-3.68852002,CALLE,ALFONSO XII,17,28014,300935,50_LTS_EX
516452,165,Apóstol Santiago,https://wikidata.org/entity/Q11906303,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.47805611,-3.66114802,CALLE,VELEZ RUBIO,111,28033,268380,50_LTS_EX
516455,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45496009,-3.67155001,CALLE,URUGUAY,18,28016,268383,50_LTS_EX
516460,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45363047,-3.67301909,CALLE,VICTOR DE LA SERNA,11,28016,268388,50_LTS_EX
516461,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45528428,-3.67409632,CALLE,URUGUAY,15,28016,268389,50_LTS_EX
516463,165,Apóstol Santiago,https://wikidata.org/entity/Q11906303,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.47818016,-3.66487,CALLE,GOLFO DE SALONICA,29,28033,268392,50_LTS_EX
515150,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.43000515,-3.65968502,CALLE,ANTONIO PIRALA,11,28017,266979,50_LTS_EX
515153,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.4299711,-3.65583702,AVENIDA,DAROCA,36,28017,266983,50_LTS_EX
515152,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.4309511,-3.65812096,AVENIDA,DAROCA,9,28017,266982,50_LTS_EX
515154,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.43152008,-3.65300996,CALLE,MATEO GARCIA,17,28017,266984,50_LTS_EX
515155,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.42976516,-3.65134296,CALLE,ASTORGA,24,28017,266985,50_LTS_EX
515160,052,Prosperidad,https://wikidata.org/entity/Q4776,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.44565815,-3.66376101,CALLE,PADRE CLARET,6,28002,266990,50_LTS_EX
515168,055,Nueva España,https://wikidata.org/entity/Q10338128,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.46004876,-3.68605724,CALLE,JUAN HURTADO DE MENDOZA,14,28036,266998,50_LTS_EX
