ID,BARRIO,same_as_wikidata_barrio,DISTRITO,same_as_wikidata_distrito,ESTADO,CLASE-VIAL,NOMBRE-VIA,CODIGO-POSTAL,FECHA-INSTALACION,MODELO
98216,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ALCALA, 629",28022,2019-01-29,MU-51
63444,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"JUAN IGNACIO LUCA DE TENA, 23",28027,2019-06-14,MU-51
98363,Pinar del Rey,http://wikidata.org/entity/Q10349788,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"MAR DE LAS ANTILLAS, 6",28033,2021-10-19,MU-51
98366,Pinar del Rey,http://wikidata.org/entity/Q10349788,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AGUSTIN DE ITURBIDE, 1",28043,2021-10-20,MU-51
98301,CASCO H.BARAJAS,,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"ORION, 3",28042,2021-09-02,MU-51
98365,Pinar del Rey,http://wikidata.org/entity/Q10349788,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"MAR DE LAS ANTILLAS, 6",28033,2021-09-29,MU-51
98300,CASCO H.BARAJAS,,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"ORION, 3",28042,2021-09-16,MU-51
98210,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"BOLTAÑA, 68",28022,2019-01-28,MU-51
98380,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"INFANTA CATALINA MICAELA, 37",28050,2021-09-09,MU-51
98381,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"INFANTA CATALINA MICAELA, 37",28050,2021-09-10,MU-51
98383,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"INFANTA CATALINA MICAELA, 37",28050,2021-09-16,MU-51
98386,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"OÑA, 183",28050,,MU-51
98484,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"PEDRO ALONSO, 7",28043,2021-09-02,MU-51
65230,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"EL PROVENCIO, 20",28043,2022-08-31,MU-51
65479,Pueblo Nuevo,http://wikidata.org/entity/Q71753,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 16",28037,2021-09-16,MU-51
