POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
PLAZA DEL ENCUENTRO;ABETO;16 METROS DE ALTURA. DISEÑO CON HOJAS;110;NO; ;Moratalaz;Fontarrón;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
CASA DEL RELOJ;ABETO;16 METROS DE ALTURA. DISEÑO CON PECES;111;NO; ;Arganzuela;Chopera;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PASEO DEL PRADO, ENTRE GLORIETA DEL EMPERADOR CARLOS V Y PLAZA DE NEPTUNO;CADENETAS; ;112;NO; ;Centro, Retiro;Cortes, Los Jerónimos;LINEAL;609;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO DEL PRADO (DE NEPTUNO A CIBELES);CADENETAS;HILO LUMINOSO;113;NO; ;Centro;Cortes;LINEAL;358;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PASEO DE RECOLETOS - BULEVAR (DE CIBELES A COLON);CADENETAS;CORDON DE BOMBILLAS;114;NO; ;Centro, Salamanca;Justicia, Recoletos;LINEAL;575;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE LA LEALTAD;CADENETAS;CORDON DE BOMBILLAS. PALACIO DE LA BOLSA, HOTEL RITZ;115;NO; ;Centro, Retiro;Cortes, Los Jerónimos;LINEAL;256;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
CONDE DUQUE 20;CADENETAS; ;116;NO; ;Centro;Universidad;LINEAL;128;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C GENOVA, ENTRE PLAZA DE ALONSO MARTINEZ Y PLAZA DE COLON;CADENETAS;CORDON DE BOMBILLAS;117;NO; ;Centro, Chamberí;Justicia, Almagro;LINEAL;380;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C SAGASTA, ENTRE GLORIETA DE ALONSO MARTINEZ Y GLORIETA DE BILBAO;CADENETAS;CORDON DE BOMBILLAS;118;NO; ;Centro, Chamberí;Justicia, Almagro;LINEAL;496;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
GLORIETA DE BILBAO;CADENETAS; ;119;NO; ;Centro, Chamberí;Justicia, Almagro;LINEAL;198;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
CARRANZA;CADENETAS;CORDONES DE BOMBILLAS;120;NO; ;Centro, Chamberí;Universidad, Trafalgar;LINEAL;243;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
RUIZ JIMÉNEZ;CADENETAS;CORDONES DE BOMBILLAS;121;NO; ;Centro, Chamberí;Universidad;LINEAL;240;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
ALBERTO AGUILERA;CADENETAS;CORDONES DE BOMBILLAS;122;NO; ;Centro, Chamberí;Universidad, Arapiles;LINEAL;828;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C ATOCHA, ENTRE GTA DEL EMPERADOR  CARLOS V Y C SAN EUGENIO;CADENETAS;CORDON DE BOMBILLAS;123;NO; ;Centro;Cortes, Embajadores;LINEAL;478;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PZA ORIENTE;CADENETAS; ;124;NO; ;Centro;Palacio;LINEAL;297;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PRINCESA;CADENETAS;CORDONES DE BOMBILLAS;125;NO; ;Centro, Moncloa - Aravaca;Universidad;LINEAL;763;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA LUCA DE TENA;CADENETAS;CORDONES DE BOMBILLAS;126;NO; ;Arganzuela;Palos de Moguer;LINEAL;370;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE LEGAZPI;CADENETAS;CORDON DE BOMBILLAS;127;NO; ;Arganzuela;Legazpi;LINEAL;184;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PSO DE LA CASTELLANA. PZA CASTILLA - CUZCO;CADENETAS;DE BOMBILLAS, UN LADO CARRIL CENTRAL Y OTRO CARRIL BUS;128;NO; ;Chamartín, Tetuán;Castillejos;LINEAL;668;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PSO DE LA CASTELLANA, ENTRE PLAZA DE LIMA Y PLAZA DE CUZCO;CADENETAS;CORDON DE BOMBILLAS;129;NO; ;Chamartín, Tetuán;Cuatro Caminos;LINEAL;647;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PSO DE LA CASTELLANA.ENTRE RAIMUNDO FDEZ VILLAVERDE Y PLAZA DE LIMA;CADENETAS;CORDON DE BOMBILLAS;130;NO; ;Chamartín, Tetuán;El Viso;LINEAL;590;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PSO DE LA CASTELLANA. ENTRE RAIMUNDO FDEZ VILLAVERDE Y GTA DE EMILIO CASTELAR;CADENETAS;CORDON DE BOMBILLAS;131;NO; ;Salamanca, Chamartín, Chamberí;Castellana;LINEAL;1222;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PSO DE LA CASTELLANA. GLORIETA EMILIO CASTELAR-COLÓN;CADENETAS;CORDON DE BOMBILLAS;132;NO; ;Salamanca, Chamberí;Castellana;LINEAL;1017;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
