ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48048DP,48048,Ibarrangelu,https://www.wikidata.org/wiki/Q1227981,Biscay,https://www.wikidata.org/wiki/Q93366,0
20043DP,20043,Idiazabal,https://www.wikidata.org/wiki/Q1619118,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.43
48094DP,48094,Igorre,https://www.wikidata.org/wiki/Q779046,Biscay,https://www.wikidata.org/wiki/Q93366,0.47
20044DP,20044,Ikaztegieta,https://www.wikidata.org/wiki/Q616464,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20045DP,20045,Irun,https://www.wikidata.org/wiki/Q200201,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.55
20046DP,20046,Irura,https://www.wikidata.org/wiki/Q537215,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.54
1027DP,1027,Iruraiz-Gauna,https://www.wikidata.org/wiki/Q1443812,Álava,https://www.wikidata.org/wiki/Q81801,0
1901DP,1901,Iruña de Oca/Iruña Oka,https://www.wikidata.org/wiki/Q1382293,Álava,https://www.wikidata.org/wiki/Q81801,0.28
48049DP,48049,Ispaster,https://www.wikidata.org/wiki/Q1227941,Biscay,https://www.wikidata.org/wiki/Q93366,0
20047DP,20047,Itsasondo,https://www.wikidata.org/wiki/Q1639397,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48910DP,48910,Iurreta,https://www.wikidata.org/wiki/Q668016,Biscay,https://www.wikidata.org/wiki/Q93366,1.37
48050DP,48050,Izurtza,https://www.wikidata.org/wiki/Q682513,Biscay,https://www.wikidata.org/wiki/Q93366,3.94
48022DP,48022,Karrantza Harana / Valle de Carranza,https://www.wikidata.org/wiki/Q686837,Biscay,https://www.wikidata.org/wiki/Q93366,0.36
48907DP,48907,Kortezubi,https://www.wikidata.org/wiki/Q1228003,Biscay,https://www.wikidata.org/wiki/Q93366,0
1019DP,1019,Kripan,https://www.wikidata.org/wiki/Q1369053,Álava,https://www.wikidata.org/wiki/Q81801,0
1020DP,1020,Kuartango,https://www.wikidata.org/wiki/Q1368846,Álava,https://www.wikidata.org/wiki/Q81801,0
1028DP,1028,Labastida-Bastida,https://www.wikidata.org/wiki/Q1155351,Álava,https://www.wikidata.org/wiki/Q81801,0
1030DP,1030,Lagrán,https://www.wikidata.org/wiki/Q1382223,Álava,https://www.wikidata.org/wiki/Q81801,0
1031DP,1031,Laguardia - Guardia,https://www.wikidata.org/wiki/Q303629,Álava,https://www.wikidata.org/wiki/Q81801,0.65
1032DP,1032,Lanciego/Lantziego,https://www.wikidata.org/wiki/Q1443959,Álava,https://www.wikidata.org/wiki/Q81801,0
48051DP,48051,Lanestosa,https://www.wikidata.org/wiki/Q1227956,Biscay,https://www.wikidata.org/wiki/Q93366,0
1902DP,1902,Lantarón,https://www.wikidata.org/wiki/Q1447382,Álava,https://www.wikidata.org/wiki/Q81801,0
1033DP,1033,Lapuebla de Labarca,https://www.wikidata.org/wiki/Q1445242,Álava,https://www.wikidata.org/wiki/Q81801,0
48052DP,48052,Larrabetzu,https://www.wikidata.org/wiki/Q784127,Biscay,https://www.wikidata.org/wiki/Q93366,0
20048DP,20048,Larraul,https://www.wikidata.org/wiki/Q1639443,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20902DP,20902,Lasarte-Oria,https://www.wikidata.org/wiki/Q932766,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.09
1036DP,1036,Laudio/Llodio,https://www.wikidata.org/wiki/Q676903,Álava,https://www.wikidata.org/wiki/Q81801,0.99
48053DP,48053,Laukiz,https://www.wikidata.org/wiki/Q1246777,Biscay,https://www.wikidata.org/wiki/Q93366,0
20049DP,20049,Lazkao,https://www.wikidata.org/wiki/Q932872,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.69
20050DP,20050,Leaburu,https://www.wikidata.org/wiki/Q1639387,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,2.72
20051DP,20051,Legazpi,https://www.wikidata.org/wiki/Q1113716,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.08
20052DP,20052,Legorreta,https://www.wikidata.org/wiki/Q1639412,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
1058DP,1058,Legutio,https://www.wikidata.org/wiki/Q1611490,Álava,https://www.wikidata.org/wiki/Q81801,0
20068DP,20068,Leintz-Gatzaga,https://www.wikidata.org/wiki/Q1649621,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48054DP,48054,Leioa,https://www.wikidata.org/wiki/Q530302,Biscay,https://www.wikidata.org/wiki/Q93366,1.16
48057DP,48057,Lekeitio,https://www.wikidata.org/wiki/Q1227965,Biscay,https://www.wikidata.org/wiki/Q93366,1.79
48055DP,48055,Lemoa,https://www.wikidata.org/wiki/Q1227196,Biscay,https://www.wikidata.org/wiki/Q93366,0.28
48056DP,48056,Lemoiz,https://www.wikidata.org/wiki/Q936264,Biscay,https://www.wikidata.org/wiki/Q93366,0
1034DP,1034,Leza,https://www.wikidata.org/wiki/Q1382266,Álava,https://www.wikidata.org/wiki/Q81801,0
48081DP,48081,Lezama,https://www.wikidata.org/wiki/Q946068,Biscay,https://www.wikidata.org/wiki/Q93366,0.42
20053DP,20053,Lezo,https://www.wikidata.org/wiki/Q1649625,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.99
20054DP,20054,Lizartza,https://www.wikidata.org/wiki/Q1633857,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48903DP,48903,Loiu,https://www.wikidata.org/wiki/Q1228023,Biscay,https://www.wikidata.org/wiki/Q93366,0
48058DP,48058,Mallabia,https://www.wikidata.org/wiki/Q1227994,Biscay,https://www.wikidata.org/wiki/Q93366,0
48060DP,48060,Markina-Xemein,https://www.wikidata.org/wiki/Q604810,Biscay,https://www.wikidata.org/wiki/Q93366,0.99
48061DP,48061,Maruri-Jatabe,https://www.wikidata.org/wiki/Q678721,Biscay,https://www.wikidata.org/wiki/Q93366,0
48059DP,48059,Mañaria,https://www.wikidata.org/wiki/Q913283,Biscay,https://www.wikidata.org/wiki/Q93366,0
20901DP,20901,Mendaro,https://www.wikidata.org/wiki/Q629193,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48062DP,48062,Mendata,https://www.wikidata.org/wiki/Q661515,Biscay,https://www.wikidata.org/wiki/Q93366,0
48063DP,48063,Mendexa,https://www.wikidata.org/wiki/Q1227761,Biscay,https://www.wikidata.org/wiki/Q93366,0
48064DP,48064,Meñaka,https://www.wikidata.org/wiki/Q647357,Biscay,https://www.wikidata.org/wiki/Q93366,0
1039DP,1039,Moreda de Álava/Moreda Araba,https://www.wikidata.org/wiki/Q1442886,Álava,https://www.wikidata.org/wiki/Q81801,0
48066DP,48066,Morga,https://www.wikidata.org/wiki/Q1752925,Biscay,https://www.wikidata.org/wiki/Q93366,0
48068DP,48068,Mundaka,https://www.wikidata.org/wiki/Q786126,Biscay,https://www.wikidata.org/wiki/Q93366,1.6
48069DP,48069,Mungia,https://www.wikidata.org/wiki/Q1228780,Biscay,https://www.wikidata.org/wiki/Q93366,1.39
48007DP,48007,Munitibar-Arbatzegi Gerrikaitz,https://www.wikidata.org/wiki/Q745645,Biscay,https://www.wikidata.org/wiki/Q93366,0
48908DP,48908,Murueta,https://www.wikidata.org/wiki/Q922926,Biscay,https://www.wikidata.org/wiki/Q93366,0
48071DP,48071,Muskiz,https://www.wikidata.org/wiki/Q607474,Biscay,https://www.wikidata.org/wiki/Q93366,1.1
20057DP,20057,Mutiloa,https://www.wikidata.org/wiki/Q1618352,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20056DP,20056,Mutriku,https://www.wikidata.org/wiki/Q1618305,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.94
48067DP,48067,Muxika,https://www.wikidata.org/wiki/Q664870,Biscay,https://www.wikidata.org/wiki/Q93366,0
48909DP,48909,Nabarniz,https://www.wikidata.org/wiki/Q765761,Biscay,https://www.wikidata.org/wiki/Q93366,0
1041DP,1041,Navaridas,https://www.wikidata.org/wiki/Q1442870,Álava,https://www.wikidata.org/wiki/Q81801,0
20063DP,20063,Oiartzun,https://www.wikidata.org/wiki/Q911092,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.55
1042DP,1042,Okondo,https://www.wikidata.org/wiki/Q1368782,Álava,https://www.wikidata.org/wiki/Q81801,0
20058DP,20058,Olaberria,https://www.wikidata.org/wiki/Q1618340,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.05
48073DP,48073,Ondarroa,https://www.wikidata.org/wiki/Q595283,Biscay,https://www.wikidata.org/wiki/Q93366,1.06
20076DP,20076,Ordizia,https://www.wikidata.org/wiki/Q672483,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.89
20905DP,20905,Orendain,https://www.wikidata.org/wiki/Q1633885,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20060DP,20060,Orexa,https://www.wikidata.org/wiki/Q598020,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20061DP,20061,Orio,https://www.wikidata.org/wiki/Q1649616,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.15
20062DP,20062,Ormaiztegi,https://www.wikidata.org/wiki/Q932808,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48075DP,48075,Orozko,https://www.wikidata.org/wiki/Q726664,Biscay,https://www.wikidata.org/wiki/Q93366,0
48083DP,48083,Ortuella,https://www.wikidata.org/wiki/Q4474,Biscay,https://www.wikidata.org/wiki/Q93366,0.72
48072DP,48072,Otxandio,https://www.wikidata.org/wiki/Q734550,Biscay,https://www.wikidata.org/wiki/Q93366,0
1043DP,1043,Oyón-Oion,https://www.wikidata.org/wiki/Q581589,Álava,https://www.wikidata.org/wiki/Q81801,0
20059DP,20059,Oñati,https://www.wikidata.org/wiki/Q496588,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.06
20064DP,20064,Pasaia,https://www.wikidata.org/wiki/Q847127,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.69
1044DP,1044,Peñacerrada-Urizaharra,https://www.wikidata.org/wiki/Q1452675,Álava,https://www.wikidata.org/wiki/Q81801,0
48077DP,48077,Plentzia,https://www.wikidata.org/wiki/Q1228773,Biscay,https://www.wikidata.org/wiki/Q93366,1.55
48078DP,48078,Portugalete,https://www.wikidata.org/wiki/Q548441,Biscay,https://www.wikidata.org/wiki/Q93366,1.53
1047DP,1047,Ribera Baja/Erribera Beitia,https://www.wikidata.org/wiki/Q1445256,Álava,https://www.wikidata.org/wiki/Q81801,0.64
1051DP,1051,Agurain/Salvatierra,https://www.wikidata.org/wiki/Q398698,Álava,https://www.wikidata.org/wiki/Q81801,0.19
1052DP,1052,Samaniego,https://www.wikidata.org/wiki/Q943857,Álava,https://www.wikidata.org/wiki/Q81801,0
1053DP,1053,San Millán-Donemiliaga,https://www.wikidata.org/wiki/Q1616072,Álava,https://www.wikidata.org/wiki/Q81801,0
48082DP,48082,Santurtzi,https://www.wikidata.org/wiki/Q917886,Biscay,https://www.wikidata.org/wiki/Q93366,1.75
20070DP,20070,Segura,https://www.wikidata.org/wiki/Q532136,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48084DP,48084,Sestao,https://www.wikidata.org/wiki/Q909707,Biscay,https://www.wikidata.org/wiki/Q93366,2.68
