ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
20068IdxD,20068,Leintz-Gatzaga,https://www.wikidata.org/wiki/Q1649621,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,30.43
48054IdxD,48054,Leioa,https://www.wikidata.org/wiki/Q530302,Biscay,https://www.wikidata.org/wiki/Q93366,31.88
48057IdxD,48057,Lekeitio,https://www.wikidata.org/wiki/Q1227965,Biscay,https://www.wikidata.org/wiki/Q93366,23.08
48055IdxD,48055,Lemoa,https://www.wikidata.org/wiki/Q1227196,Biscay,https://www.wikidata.org/wiki/Q93366,41.06
48056IdxD,48056,Lemoiz,https://www.wikidata.org/wiki/Q936264,Biscay,https://www.wikidata.org/wiki/Q93366,28.7
1034IdxD,1034,Leza,https://www.wikidata.org/wiki/Q1382266,Álava,https://www.wikidata.org/wiki/Q81801,40.54
48081IdxD,48081,Lezama,https://www.wikidata.org/wiki/Q946068,Biscay,https://www.wikidata.org/wiki/Q93366,34.45
20053IdxD,20053,Lezo,https://www.wikidata.org/wiki/Q1649625,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,37.15
20054IdxD,20054,Lizartza,https://www.wikidata.org/wiki/Q1633857,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,15.41
48903IdxD,48903,Loiu,https://www.wikidata.org/wiki/Q1228023,Biscay,https://www.wikidata.org/wiki/Q93366,96.28
48058IdxD,48058,Mallabia,https://www.wikidata.org/wiki/Q1227994,Biscay,https://www.wikidata.org/wiki/Q93366,38.82
48060IdxD,48060,Markina-Xemein,https://www.wikidata.org/wiki/Q604810,Biscay,https://www.wikidata.org/wiki/Q93366,25.25
48061IdxD,48061,Maruri-Jatabe,https://www.wikidata.org/wiki/Q678721,Biscay,https://www.wikidata.org/wiki/Q93366,39.4
48059IdxD,48059,Mañaria,https://www.wikidata.org/wiki/Q913283,Biscay,https://www.wikidata.org/wiki/Q93366,28.9
20901IdxD,20901,Mendaro,https://www.wikidata.org/wiki/Q629193,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,21.86
48062IdxD,48062,Mendata,https://www.wikidata.org/wiki/Q661515,Biscay,https://www.wikidata.org/wiki/Q93366,17.28
48063IdxD,48063,Mendexa,https://www.wikidata.org/wiki/Q1227761,Biscay,https://www.wikidata.org/wiki/Q93366,19.52
48064IdxD,48064,Meñaka,https://www.wikidata.org/wiki/Q647357,Biscay,https://www.wikidata.org/wiki/Q93366,33.47
1039IdxD,1039,Moreda de Álava/Moreda Araba,https://www.wikidata.org/wiki/Q1442886,Álava,https://www.wikidata.org/wiki/Q81801,38.02
48066IdxD,48066,Morga,https://www.wikidata.org/wiki/Q1752925,Biscay,https://www.wikidata.org/wiki/Q93366,54.59
48068IdxD,48068,Mundaka,https://www.wikidata.org/wiki/Q786126,Biscay,https://www.wikidata.org/wiki/Q93366,61.26
48069IdxD,48069,Mungia,https://www.wikidata.org/wiki/Q1228780,Biscay,https://www.wikidata.org/wiki/Q93366,31.27
48007IdxD,48007,Munitibar-Arbatzegi Gerrikaitz,https://www.wikidata.org/wiki/Q745645,Biscay,https://www.wikidata.org/wiki/Q93366,44.49
48908IdxD,48908,Murueta,https://www.wikidata.org/wiki/Q922926,Biscay,https://www.wikidata.org/wiki/Q93366,57.32
48071IdxD,48071,Muskiz,https://www.wikidata.org/wiki/Q607474,Biscay,https://www.wikidata.org/wiki/Q93366,52.82
20057IdxD,20057,Mutiloa,https://www.wikidata.org/wiki/Q1618352,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.23
20056IdxD,20056,Mutriku,https://www.wikidata.org/wiki/Q1618305,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,26.16
