ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
9031613,Fuentes de beber,9031613_adress,Madrid,28011,091,CASA DE CAMPO,09,MONCLOA-ARAVACA,PASEO,Paseo Puerta del Angel,1,OPERATIVO,9031613_geo,40.40985475,-3.74366962,PERSONAS Y MASCOTAS,OTRO
9031614,Fuentes de beber,9031614_adress,Madrid,28011,091,CASA DE CAMPO,09,MONCLOA-ARAVACA,PASEO,Paseo Puerta del Angel,1,OPERATIVO,9031614_geo,40.41015276,-3.74242301,PERSONAS Y MASCOTAS,OTRO
9031694,Fuentes de beber,9031694_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031694_geo,40.49736124,-3.62438856,PERSONAS Y MASCOTAS,OTRO
9031695,Fuentes de beber,9031695_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031695_geo,40.49622438,-3.62474266,PERSONAS Y MASCOTAS,OTRO
9031717,Fuentes de beber,9031717_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031717_geo,40.4832155,-3.62549962,PERSONAS Y MASCOTAS,OTRO
9031741,Fuentes de beber,9031741_adress,Madrid,28030,143,MARROQUINA,14,MORATALAZ,AVENIDA,Avenida del Doctor Garcia Tapia,125,OPERATIVO,9031741_geo,40.41402321,-3.63121397,MASCOTAS,OTRO
8834918,Fuentes de beber,8834918_adress,Madrid,28023,095,VALDEMARIN,09,MONCLOA-ARAVACA,AVENIDA,VALDEMARIN,67,OPERATIVO,8834918_geo,40.470006,-3.77719071,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835114,Fuentes de beber,8835114_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,CINCOVILLAS,5,OPERATIVO,8835114_geo,40.36717702,-3.62490862,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835122,Fuentes de beber,8835122_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,AVENIDA,CERRO MILANO,27,OPERATIVO,8835122_geo,40.36358783,-3.60716321,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835185,Fuentes de beber,8835185_adress,Madrid,28031,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,CABEZA MESADA,7,OPERATIVO,8835185_geo,40.37574383,-3.62997383,PERSONAS Y MASCOTAS,MIXTA ESTELA
