?ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;UBICACION;USO;MODELO
9031690;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;446116,52;4483153,27;40,49733665;-3,63588718;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;JUNTO A LA ENTRADA DE LA PLAZA NORTE;;;FUEP_16_15_0003;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031701;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;445693,14;4482319,59;40,48979887;-3,6408118;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;JUNTO A LA ENTRADA DE LA PLAZA OESTE;;;FUEP_16_15_0014;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031702;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;445857,7;4482296,13;40,48959828;-3,63886814;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;ZONA CANINA CERCA DE LA PLAZA OESTE;;;FUEP_16_15_0015;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031747;142;HORCAJO;14;MORATALAZ;OPERATIVO;446759,85;4473570,31;40,41104958;-3,62749198;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;ZONA CANINA FUENTE CARRANTONA;;;FUEP_14_19_0015;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031934;162;PIOVERA;16;HORTALEZA;OPERATIVO;446717,55;4478421,92;40,45475301;-3,62839723;AVENIDA;MACHUPICHU;1;28043;PARQUE JUAN PABLO II. Entrada Papa Negro;;;FUEP_16_11_0007;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
9031935;162;PIOVERA;16;HORTALEZA;OPERATIVO;447384,49;4478698,14;40,45728385;-3,62055488;AVENIDA;MACHUPICHU;1;28043;PARQUE JUAN PABLO II. Área canina;;;FUEP_16_11_0008;ZV;MASCOTAS;BEBEDERO CANINO
9049038;136;NUMANCIA;13;PUENTE DE VALLECAS;OPERATIVO;444369,17;4471454,05;40,39182873;-3,65548204;CALLE;CANTALAPIEDRA;2;28038;CV AVD LA ALBUFERA;11098510;;FUE_13_0178;VP;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
9049057;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;444169,09;4471003,31;40,38775481;-3,65779987;CALLE;MARIA TERESA ROBLEDO;3;28018;JUNTO AREA INFANTIL, FRENTE MURAL EL PODER DE LOS ANIMALES;31037826;2022-11-03;FUE_13_0176;VP;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
9049060;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;444047,2;4470784,43;40,38577483;-3,65921666;CALLE;PUERTO DE COSTABONA;5;28018;JUNTO AREA INFANTIL;20099401;;FUE_13_0175;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
9049061;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;444148,48;4471010,36;40,38781693;-3,6580433;CALLE;MARIA TERESA ROBLEDO;3;28018;;31037826;2022-11-03;FUE_13_0177;ZV;MASCOTAS;BEBEDERO NEPTUNO
9032108;215;CORRALEJOS;21;BARAJAS;OPERATIVO;448444,29;4479328,04;40,46302477;-3,60810728;PARQUE;S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG;5;28042;PARQUE JUAN CARLOS I. Área canina;;;FUEP_21_12_0004;ZV;MASCOTAS;BEBEDERO CANINO
9127172;113;SAN ISIDRO;11;CARABANCHEL;OPERATIVO;438094,85;4472184,91;40,39796997;-3,7294762;PASEO;ERMITA DEL SANTO;76;28019;ZONA CANINA, PRÓXIMO A ESTANQUE CENTRAL;20047749;2022-12-19;FUE_11_0144;ZV;MASCOTAS;BEBEDERO NEPTUNO
9179667;174;LOS ROSALES;17;VILLAVERDE;OPERATIVO;441630,33;4466670,84;40,3485514;-3,68731295;CALLE;EDUARDO MINGUITO;55;28021;PARQUE JUNTO A CENTRO DE MAYORES;11127641;2023-02-22;FUE_17_0138;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
9199241;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;OPERATIVO;440401,06;4465009,19;40,33349535;-3,7016317;CALLE;SAN EUSTAQUIO;26;28021;C/V C/ LAGUNA DEL MARQUESADO. EN ÁREA CANINA;31022973;2023-03-27;FUE_17_0139;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
