ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9047002";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438427.00";"4475764.00";"ETRS89";40.43023659;-3.72590893;"PASEO";"MORET";"2";"28008";"En área infantil AI_000012 cerca Paseo de Camoens";"31024729";;"FUEP_09_02_0034";"6";"ZV";"PERSONAS";"MU-37C"
"9047003";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438557.00";"4475494.00";"ETRS89";40.42781393;-3.72435033;"PASEO";"MORET";"2";"28008";"Cerca Policia";"31024729";;"FUEP_09_02_0035";"6";"ZV";"PERSONAS";"MU-37A"
"9047006";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439034.00";"4475203.00";"ETRS89";40.42522757;-3.71869950;"PASEO";"MORET";"2";"28008";"Entorno calle Profesor Martín Almagro Basch";"31024729";;"FUEP_09_02_0038";"6";"ZV";"PERSONAS";"MU-37C"
"9047009";"Fuentes de beber";"208";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"446603.00";"4477393.00";"ETRS89";40.44547658;-3.62966160;"CALLE";"ALCALA";"527";"28027";"Cerca del puente";"11139186";;"FUEP_20_03_0041";"6";"ZV";"PERSONAS";"PIEDRA VP"
"9047010";"Fuentes de beber";"208";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"NO_OPERATIVO";"446639.0";"4477501.0";"ETRS89";40.44645181;-3.62924619;;;;;;;;"FUEP_20_03_0042";"6";"ZV";"PERSONAS";"OTRO"
"9047011";"Fuentes de beber";"208";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"446570.00";"4477512.00";"ETRS89";40.44654648;-3.63006073;"calle";"alcalá";"527";;"Subida a Palacio";;;"FUEP_20_03_0043";"6";"ZV";"PERSONAS";"PIEDRA VP"
"9047014";"Fuentes de beber";"043";"FUENTE DEL BERRO";"04";"SALAMANCA";"OPERATIVO";"443885.00";"4474919.00";"ETRS89";40.42301048;-3.66149205;"CALLE";"ENRIQUE D'ALMONTE";"1";"28028";"Entre la ría y el área infantil";"11016085";;"FUEP_04_04_0046";"6";"ZV";"PERSONAS";"OTRO"
"9047017";"Fuentes de beber";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"449077.00";"4478530.00";"ETRS89";40.45587458;-3.60058074;"PASEO";"ALAMEDA DE OSUNA";"25";"28042";"En camino de entrada al Casino";"31031146";;"FUEP_21_05_0049";"6";"ZV";"PERSONAS";"MU-37C"
"9047019";"Fuentes de beber";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439456.00";"4474674.00";"ETRS89";40.42049292;-3.71367474;"CALLE";"BAILEN";"2";"28013";"Entre Plataforma alta y Plataforma baja";"20103624";;"FUEP_01_06_0051";"6";"ZV";"PERSONAS";"MU-37C"
"9047021";"Fuentes de beber";"094";"VALDEZARZA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439107.00";"4479333.00";"ETRS89";40.46243761;-3.71823490;"CARRETERA";"DEHESA DE LA VILLA";"1";"28040";"Cerca escalera entrada por Calle Alcalde Martín de Alzaga";"31026444";;"FUEP_09_08_0054";"6";"ZV";"PERSONAS";"OTRO"
"9047023";"Fuentes de beber";"093";"CIUDAD UNIVERSITARIA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438710.00";"4478466.00";"ETRS89";40.45459817;-3.72283347;"CARRETERA";"DEHESA DE LA VILLA";"1";"28040";"Cerro de los locos";"31026444";;"FUEP_09_08_0057";"6";"ZV";"PERSONAS";"PIEDRA VP"
