ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;MODELO
"517500";"Papelera";"075";"RIOS ROSAS";"07";"CHAMBERI";"OPERATIVO";"440869.03";"4477258.86";"ETRS89";40.44388014;-3.69726002;"CALLE";"ALONSO CANO";"72";"28003";"CALLE DE ALONSO CANO,72";"11042168";"2011-02-24 00:00:00.0";"269483";"5PPL";"VIARIO";"50_LTS_EX"
"517505";"Papelera";"075";"RIOS ROSAS";"07";"CHAMBERI";"OPERATIVO";"440597.86";"4477308.63";"ETRS89";40.44430916;-3.70046203;"CALLE";"ALENZA";"16";"28003";"CALLE DE ALENZA,16";"20014676";"2011-02-24 00:00:00.0";"269488";"5PPL";"VIARIO";"50_LTS_EX"
"517507";"Papelera";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"445265.282";"4477344.884";"ETRS89";40.44495613;-3.64543100;"CALLE";"ARTURO SORIA";"88";"28027";"CALLE ARTURO SORIA,88";"31024210";"2011-02-24 00:00:00.0";"269490";"5PPL";"VIARIO";"50_LTS_EX"
"517509";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436731.52";"4470472.36";"ETRS89";40.38244013;-3.74536999;"CALLE";"MONSEÑOR OSCAR ROMERO";"64";"28025";"CALLE DEL MONSEÑOR OSCAR ROMERO,64";"11075139";"2011-02-24 00:00:00.0";"269492";"5PPL";"VIARIO";"50_LTS_EX"
"517511";"Papelera";"155";"SAN PASCUAL";"15";"CIUDAD LINEAL";"OPERATIVO";"445002.74";"4477486.67";"ETRS89";40.44621609;-3.64853898;"CALLE";"AMARA";"15";"28027";"CALLE DE AMARA,15";"20179682";"2011-02-24 00:00:00.0";"269494";"5PPL";"VIARIO";"50_LTS_EX"
"517512";"Papelera";"075";"RIOS ROSAS";"07";"CHAMBERI";"OPERATIVO";"440394.09";"4477364.75";"ETRS89";40.44480013;-3.70286995;"CALLE";"SANTA ENGRACIA";"148";"28003";"CALLE DE SANTA ENGRACIA,148";"11042326";"2011-02-24 00:00:00.0";"269495";"5PPL";"VIARIO";"50_LTS_EX"
"517514";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444793.02";"4471924.40";"ETRS89";40.39609413;-3.65052902;"CALLE";"MOHERNANDO";"2";"28038";"CALLE DE MOHERNANDO,2";"31051781";"2011-02-24 00:00:00.0";"269498";"5PPL";"VIARIO";"50_LTS_EX"
"517248";"Papelera";"156";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"OPERATIVO";"444586.62";"4478223.94";"ETRS89";40.45283016;-3.65350998;"CALLE";"ARTURO SORIA";"148";"28043";"CALLE DE ARTURO SORIA,148";"11111520";"2011-02-23 00:00:00.0";"269222";"5PPL";"VIARIO";"50_LTS_EX"
"517244";"Papelera";"156";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"OPERATIVO";"444751.85";"4477931.66";"ETRS89";40.45020815;-3.65153605;"CALLE";"ARTURO SORIA";"130";"28043";"CALLE DE ARTURO SORIA,130";"20169186";"2011-02-23 00:00:00.0";"269218";"5PPL";"VIARIO";"50_LTS_EX"
"517259";"Papelera";"157";"COLINA";"15";"CIUDAD LINEAL";"OPERATIVO";"444027.53";"4478891.36";"ETRS89";40.45880515;-3.66016196;"CALLE";"LOPEZ DE HOYOS";"307";"28043";"CALLE DE LOPEZ DE HOYOS,307";"11112090";"2011-02-23 00:00:00.0";"269233";"5PPL";"VIARIO";"50_LTS_EX"
"517260";"Papelera";"113";"SAN ISIDRO";"11";"CARABANCHEL";"OPERATIVO";"437508.74";"4471652.51";"ETRS89";40.39313011;-3.73633000;"CALLE";"EL TOBOSO";"134";"28019";"CALLE DE EL TOBOSO,134";"31060352";"2011-02-23 00:00:00.0";"269234";"5PPL";"VIARIO";"50_LTS_EX"
"517262";"Papelera";"113";"SAN ISIDRO";"11";"CARABANCHEL";"OPERATIVO";"437569.15";"4471516.91";"ETRS89";40.39191309;-3.73560496;"CALLE";"ZAIDA";"50";"28019";"CALLE DE LA ZAIDA,50";"20022300";"2011-02-23 00:00:00.0";"269237";"5PPL";"VIARIO";"50_LTS_EX"
"517263";"Papelera";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444847.87";"4483292.79";"ETRS89";40.49851016;-3.65086995;"CALLE";"VICENTE BLASCO IBAÑEZ";"73";"28050";"CALLE VICENTE BLASCO IBAÑEZ,73";"31006290";"2011-02-23 00:00:00.0";"269238";"5PPL";"VIARIO";"50_LTS_EX"
"517266";"Papelera";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444743.74";"4483077.09";"ETRS89";40.49656011;-3.65207994;"CALLE";"AMERICO CASTRO";"80";"28050";"CALLE DE AMERICO CASTRO,80";"31006281";"2011-02-23 00:00:00.0";"269241";"5PPL";"VIARIO";"50_LTS_EX"
"517267";"Papelera";"074";"ALMAGRO";"07";"CHAMBERI";"OPERATIVO";"441465.80";"4475918.09";"ETRS89";40.43184409;-3.69010001;"CALLE";"JENNER";"7";"28010";"CALLE DE JENNER,7";"11041168";"2011-02-23 00:00:00.0";"269243";"5PPL";"VIARIO";"50_LTS_EX"
"517268";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"437566.366";"4471315.238";"ETRS89";40.39009613;-3.73561799;"AVENIDA";"NUESTRA SEÑORA DE VALVANERA";"1";"28025";"AVENIDA NUESTRA SEÑORA DE VALVANERA,1";"11074000";"2011-02-23 00:00:00.0";"269244";"5PPL";"VIARIO";"50_LTS_EX"
